========================================================================================
적분 후 액션 청크 오차 — 롤아웃이 실제로 쓰는 양 (stage 3 체크포인트)
========================================================================================

velocity MSE 가 아니라 policy 의 실제 추론 경로(100 스텝 Euler)를 돌린 결과다.
모든 팔이 같은 전문가 상태·같은 노이즈 시드를 본다. 값은 상대오차 ‖â−a*‖/‖a*‖.

chunk16 전체 16 스텝 | chunk8 실행되는 앞 8 스텝 | step0 첫 스텝
spread  노이즈 시드 3개 간 출력 표준편차(상대) — 모드가 갈리면 커진다

----------------------------------------------------------------------------------------
     arm  task   chunk16   chunk8   step0   spread     SR
----------------------------------------------------------------------------------------
      ER     0     0.379    0.342   0.318    0.086     85
      ER     1     0.298    0.271   0.216    0.074    100
      ER     2     0.309    0.294   0.254    0.096     90
      ER     3     0.142    0.132   0.127    0.098    100
  seq-FT     0     0.619    0.591   0.527    0.092      0
  seq-FT     1     0.612    0.602   0.545    0.104      0
  seq-FT     2     0.496    0.477   0.402    0.103     50
  seq-FT     3     0.126    0.114   0.128    0.085     90
    B2λ3     0     0.309    0.290   0.272    0.107     90
    B2λ3     1     0.315    0.292   0.260    0.144     40
    B2λ3     2     0.329    0.310   0.271    0.175    100
    B2λ3     3     0.184    0.171   0.151    0.137     90
      B1     0     0.384    0.372   0.348    0.127     50
      B1     1     0.333    0.307   0.277    0.124     25
      B1     2     0.333    0.313   0.265    0.126     90
      B1     3     0.129    0.119   0.112    0.093     85
      B2     0     0.344    0.323   0.303    0.111     85
      B2     1     0.308    0.285   0.264    0.120     40
      B2     2     0.334    0.310   0.268    0.132    100
      B2     3     0.139    0.126   0.119    0.105     80
