====================================================================================
task 0 만 학습했을 때 남아 있는 범용 속도장 — 학습량에 따른 변화
====================================================================================

모든 모델이 같은 전문가 상태·같은 (ε,t) 를 본다. 값은 ‖v*_j‖ 로 정규화.

rel    ‖v(o_j,ℓ_j) − v*_j‖    정답에서 얼마나 먼가 (작을수록 좋다)
δ      ‖v(o_j,ℓ_j) − v(o_j,ℓ_0)‖  ℓ_j 와 ℓ_0 을 구분하는가 (0 이면 무조건부 = task0)
drift  ‖v(o_j,ℓ_j) − v_pretrain(o_j,ℓ_j)‖  범용 필드에서 밀려난 정도

task 0 은 학습한 태스크, task 1~3 은 아직 안 배운 태스크다.
------------------------------------------------------------------------------------
      model  task      rel        δ    drift
------------------------------------------------------------------------------------
   pretrain     0    0.450    0.000    0.000
   pretrain     1    0.440    0.066    0.000
   pretrain     2    0.354    0.104    0.000
   pretrain     3    0.477    0.121    0.000
   task0_5k     0    0.152    0.000    0.413
   task0_5k     1    0.581    0.079    0.447
   task0_5k     2    0.489    0.102    0.449
   task0_5k     3    0.601    0.197    0.442
  task0_20k     0    0.102    0.000    0.445
  task0_20k     1    0.754    0.060    0.623
  task0_20k     2    0.671    0.072    0.649
  task0_20k     3    0.742    0.142    0.639
