============================================================================================
blind 손실 바닥 vs 실제 손실, 그리고 조건 분화 정도
============================================================================================

floor  = λ/(1+λ)·Ĝ²   조건을 무시하는 해가 내려갈 수 있는 최소 손실
actual = ‖v(ℓ_k)−v*_k‖² + λ‖v(ℓ_j)−v_T(ℓ_j)‖²   실제 도달한 손실
         (μ=1. 우리 손실이 L = L_FM + λ·L_anchor 이므로 FM 항 가중이 1이다)
ratio  = actual/floor   <1 이면 분화가 이득을 냈다는 뜻, ≈1 이면 blind 해 근처
학습log = 학습 중 실제로 기록된 손실 (diagnostics.jsonl 마지막 5개 평균,
          fm_loss + λ·anchor_loss). 체크포인트 재계산(actual)과 교차검증용.
split  = ‖v(ℓ_j)−v(ℓ_k)‖ / Ĝ   1=완전 분화, 0=두 명령어가 같은 출력

--------------------------------------------------------------------------------------------
    arm    λ  k       Ĝ²    floor   actual  ratio     학습log  log/floor   split   AvgSR
--------------------------------------------------------------------------------------------
   B1λ1    1  1   0.5775   0.2887   0.0820   0.28    0.0579       0.20   0.909    62.5
   B1λ1    1  2   0.4010   0.2005   0.0602   0.30    0.0544       0.27   0.925    62.5
   B1λ1    1  3   0.3519   0.1760   0.0531   0.30    0.0573       0.33   0.924    62.5
   B1λ3    3  1   0.5775   0.4331   0.0924   0.21    0.0704       0.16   0.898    70.0
   B1λ3    3  2   0.3400   0.2550   0.0660   0.26    0.0682       0.27   0.903    70.0
   B1λ3    3  3   0.2938   0.2203   0.0597   0.27    0.0708       0.32   0.897    70.0
  B1λ10   10  1   0.5775   0.5250   0.1144   0.22    0.1168       0.22   0.883    65.0
  B1λ10   10  2   0.2720   0.2472   0.0810   0.33    0.1007       0.41   0.851    65.0
  B1λ10   10  3   0.2278   0.2071   0.0769   0.37    0.1004       0.48   0.830    65.0
  B1λ30   30  1   0.5775   0.5589   0.1616   0.29    0.1888       0.34   0.870    58.8
  B1λ30   30  2   0.2188   0.2118   0.1120   0.53    0.1639       0.77   0.793    58.8
  B1λ30   30  3   0.1951   0.1888   0.1015   0.54    0.1540       0.82   0.751    58.8
   B2λ1    1  1   0.5775   0.2887   0.0814   0.28    0.0582       0.20   0.908    76.2
   B2λ1    1  2   0.4051   0.2026   0.0599   0.30    0.0558       0.28   0.922    76.2
   B2λ1    1  3   0.3506   0.1753   0.0524   0.30    0.0583       0.33   0.919    76.2
   B2λ3    3  1   0.5775   0.4331   0.0924   0.21    0.0748       0.17   0.899    80.0
   B2λ3    3  2   0.3335   0.2501   0.0668   0.27    0.0749       0.30   0.894    80.0
   B2λ3    3  3   0.2869   0.2152   0.0668   0.31    0.0861       0.40   0.878    80.0
  B2λ10   10  1   0.5775   0.5250   0.1165   0.22    0.1128       0.21   0.885    70.0
  B2λ10   10  2   0.2716   0.2469   0.0849   0.34    0.1157       0.47   0.842    70.0
  B2λ10   10  3   0.2193   0.1993   0.0868   0.44    0.1339       0.67   0.792    70.0
  B2λ30   30  1   0.5775   0.5589   0.1622   0.29    0.1977       0.35   0.866    68.8
  B2λ30   30  2   0.2216   0.2145   0.1144   0.53    0.2035       0.95   0.790    68.8
  B2λ30   30  3   0.1933   0.1870   0.1114   0.60    0.2399       1.28   0.731    68.8
   B8λ1    1  1   0.5775   0.2887   0.0830   0.29    0.0596       0.21   0.908    61.2
   B8λ1    1  2   0.3832   0.1916   0.0609   0.32    0.0553       0.29   0.915    61.2
   B8λ1    1  3   0.3383   0.1692   0.0525   0.31    0.0566       0.33   0.914    61.2
   B8λ3    3  1   0.5775   0.4331   0.0962   0.22    0.1100       0.25   0.898    72.5
   B8λ3    3  2   0.3166   0.2374   0.0667   0.28    0.0990       0.42   0.893    72.5
   B8λ3    3  3   0.2820   0.2115   0.0640   0.30    0.0971       0.46   0.890    72.5
  B8λ10   10  1   0.5775   0.5250   0.1236   0.24    0.5510       1.05   0.882    66.2
  B8λ10   10  2   0.2615   0.2378   0.0841   0.35    0.4365       1.84   0.849    66.2
  B8λ10   10  3   0.2163   0.1967   0.0823   0.42    0.3755       1.91   0.808    66.2
