======================================================================
ER  libero_10  태스크 0..9   seed 42, 칸당 20 롤아웃
======================================================================

5000 steps/task, 45 에피소드(뒤 5개 hold-out), 배치 32 = 현재 24 + 버퍼 8,
과거 태스크당 버퍼 5 에피소드.  K1 과 같은 프로토콜이다.

AvgSR 54.5   BWT -23.3   습득 75.5

행 = 스테이지, 열 = 태스크
after\task      0     1     2     3     4     5     6     7     8     9
         0     75     .     .     .     .     .     .     .     .     .
         1     40    90     .     .     .     .     .     .     .     .
         2     40    90   100     .     .     .     .     .     .     .
         3     45    80   100    80     .     .     .     .     .     .
         4     25    70    85    65    75     .     .     .     .     .
         5     20    85   100    60    50    90     .     .     .     .
         6     45    75    90    75    25    75    40     .     .     .
         7     40    80    95    65    55    95    25    75     .     .
         8     60    55    80    70    40    90    40    80    50     .
         9     30    65    75    55    30    80    40    55    35    80
