# task_order: 0,1,2,3,4,5,6,7,8,9
after_stage,stage0(task0),stage1(task1),stage2(task2),stage3(task3),stage4(task4),stage5(task5),stage6(task6),stage7(task7),stage8(task8),stage9(task9)
0,75.0,,,,,,,,,
1,40.0,90.0,,,,,,,,
2,40.0,90.0,100.0,,,,,,,
3,45.0,80.0,100.0,80.0,,,,,,
4,25.0,70.0,85.0,65.0,75.0,,,,,
5,20.0,85.0,100.0,60.0,50.0,90.0,,,,
6,45.0,75.0,90.0,75.0,25.0,75.0,40.0,,,
7,40.0,80.0,95.0,65.0,55.0,95.0,25.0,75.0,,
8,60.0,55.0,80.0,70.0,40.0,90.0,40.0,80.0,50.0,
9,30.0,65.0,75.0,55.0,30.0,80.0,40.0,55.0,35.0,80.0
