======================================================================
ER  libero_goal  태스크 0..9   seed 42, 칸당 20 롤아웃
======================================================================

5000 steps/task, 45 에피소드(뒤 5개 hold-out), 배치 32 = 현재 24 + 버퍼 8,
과거 태스크당 버퍼 5 에피소드.  K1 과 같은 프로토콜이다.

AvgSR 80.0   BWT -14.4   습득 93.0

행 = 스테이지, 열 = 태스크
after\task      0     1     2     3     4     5     6     7     8     9
         0     95     .     .     .     .     .     .     .     .     .
         1    100   100     .     .     .     .     .     .     .     .
         2    100    95    95     .     .     .     .     .     .     .
         3     95    95   100    95     .     .     .     .     .     .
         4    100   100    85    70    90     .     .     .     .     .
         5    100    95    95    60    80   100     .     .     .     .
         6    100    85    95    65    95    65    80     .     .     .
         7    100    70    85    60    85    60   100   100     .     .
         8    100    70    95    55   100    65    75   100    95     .
         9    100    70    90    70    90    70    35   100    95    80
