======================================================================
ER  libero_object  태스크 0..9   seed 42, 칸당 20 롤아웃
======================================================================

5000 steps/task, 45 에피소드(뒤 5개 hold-out), 배치 32 = 현재 24 + 버퍼 8,
과거 태스크당 버퍼 5 에피소드.  K1 과 같은 프로토콜이다.

AvgSR 87.5   BWT -9.4   습득 96.0

행 = 스테이지, 열 = 태스크
after\task      0     1     2     3     4     5     6     7     8     9
         0    100     .     .     .     .     .     .     .     .     .
         1    100    95     .     .     .     .     .     .     .     .
         2     95    70   100     .     .     .     .     .     .     .
         3     85    65   100    95     .     .     .     .     .     .
         4     75    70    90    85   100     .     .     .     .     .
         5     95    85   100    70   100   100     .     .     .     .
         6     90    70    80    80    90    80    80     .     .     .
         7     95    80    75    75    95    85    95    90     .     .
         8     85    80    95    75   100    75    80    80   100     .
         9     75    90   100    65    95    90    85    75   100   100
