# task_order: 0,1,2,3,4,5,6,7,8,9
after_stage,stage0(task0),stage1(task1),stage2(task2),stage3(task3),stage4(task4),stage5(task5),stage6(task6),stage7(task7),stage8(task8),stage9(task9)
0,95.0,,,,,,,,,
1,100.0,80.0,,,,,,,,
2,100.0,90.0,95.0,,,,,,,
3,90.0,85.0,95.0,100.0,,,,,,
4,95.0,80.0,85.0,100.0,70.0,,,,,
5,60.0,70.0,100.0,90.0,100.0,70.0,,,,
6,80.0,75.0,90.0,95.0,100.0,85.0,70.0,,,
7,70.0,65.0,95.0,95.0,90.0,75.0,85.0,85.0,,
8,70.0,55.0,90.0,70.0,85.0,90.0,60.0,100.0,80.0,
9,90.0,60.0,65.0,80.0,100.0,80.0,65.0,95.0,95.0,80.0
