method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
seq,1,0,1.1576,1.0183,1.4515,3.8298,30
seq,1,5,1.1468,1.0176,1.4474,3.8298,30
seq,1,10,1.1740,1.0343,1.4471,3.8298,30
seq,1,15,1.2192,1.0555,1.4557,3.8298,30
seq,1,20,1.2051,1.0431,1.5017,3.8298,30
seq,1,25,1.1823,1.0552,1.5011,3.8298,30
seq,1,30,1.1660,1.0557,1.4907,3.8298,30
seq,1,35,1.1589,1.0446,1.4841,3.8298,30
seq,1,40,1.1623,1.0253,1.4464,3.8298,30
seq,1,45,1.2602,1.0811,1.5774,3.8298,30
seq,1,50,1.4994,1.2797,1.7272,3.8298,30
seq,1,55,1.6995,1.3820,1.9275,3.8298,30
seq,1,60,1.7979,1.5941,2.2165,3.8298,30
seq,1,65,1.8724,1.6611,2.1830,3.8298,30
seq,1,70,1.8535,1.6613,2.1065,3.8298,30
seq,1,75,1.8662,1.6741,2.0303,3.8298,30
seq,1,80,1.7532,1.5871,1.8867,3.8298,30
seq,1,85,1.7937,1.6200,2.0886,3.8298,30
seq,1,90,1.7937,1.6200,2.0633,3.8298,30
seq,1,95,1.7937,1.6200,2.0886,3.8298,30
seq,1,100,1.7629,1.6200,2.0039,3.8298,30
seq,1,105,1.7937,1.6200,2.0039,3.8298,30
seq,1,110,1.7629,1.6200,2.0039,3.8298,30
seq,1,115,1.7629,1.6200,2.0039,3.8298,30
seq,1,120,1.7937,1.6200,2.0886,3.8298,30
seq,1,125,1.7937,1.6200,2.0886,3.8298,30
seq,1,130,1.7937,1.6200,2.0886,3.8298,30
seq,1,135,1.7937,1.6200,2.0886,3.8298,30
seq,1,140,1.7937,1.6200,2.0886,3.8298,30
seq,1,145,1.7937,1.6200,2.0886,3.8298,30
seq,1,150,1.7937,1.6200,2.0886,3.8298,30
seq,1,155,1.7937,1.6200,2.0886,3.8298,30
seq,1,160,1.7937,1.6200,2.0886,3.8298,30
seq,1,165,1.7937,1.6200,2.0886,3.8298,30
seq,1,170,1.7937,1.6200,2.0886,3.8298,30
seq,1,175,1.7937,1.6200,2.0886,3.8298,30
seq,1,180,1.7937,1.6200,2.0886,3.8298,30
seq,1,185,1.7937,1.6200,2.0886,3.8298,30
seq,1,190,1.7937,1.6200,2.0886,3.8298,30
seq,1,195,1.7937,1.6200,2.0886,3.8298,30
seq,1,200,1.7937,1.6200,2.0886,3.8298,30
seq,1,205,1.7937,1.6200,2.0886,3.8298,30
seq,1,210,1.7937,1.6200,2.0886,3.8298,30
seq,1,215,1.7937,1.6200,2.0886,3.8298,30
seq,1,220,1.7937,1.6200,2.0886,3.8298,30
seq,1,225,1.7937,1.6200,2.0886,3.8298,30
seq,1,230,1.7937,1.6200,2.0886,3.8298,30
seq,1,235,1.7937,1.6200,2.0886,3.8298,30
seq,1,240,1.7937,1.6200,2.0886,3.8298,30
seq,1,245,1.7937,1.6200,2.0886,3.8298,30
seq,1,250,1.7937,1.6200,2.0886,3.8298,30
seq,1,255,1.7937,1.6200,2.0886,3.8298,30
seq,1,260,1.7937,1.6200,2.0886,3.8298,30
seq,1,265,1.7937,1.6200,2.0886,3.8298,30
seq,1,270,1.7937,1.6200,2.0886,3.8298,30
seq,1,275,1.7937,1.6200,2.0886,3.8298,30
seq,1,280,1.7937,1.6200,2.0886,3.8298,30
seq,1,285,1.7937,1.6200,2.0886,3.8298,30
seq,1,290,1.7937,1.6200,2.0886,3.8298,30
seq,1,295,1.7937,1.6200,2.0886,3.8298,30
seq,2,0,1.1699,1.0130,1.4585,3.8298,30
seq,2,5,1.1816,1.0549,1.4697,3.8298,30
seq,2,10,1.6007,1.2888,1.7037,3.8298,30
seq,2,15,2.0318,1.7432,2.2007,3.8298,30
seq,2,20,2.6625,2.2558,2.7543,3.8298,30
seq,2,25,3.2458,2.9706,3.4090,3.8298,30
seq,2,30,3.7416,3.5855,3.9127,3.8298,30
seq,2,35,3.9937,3.8742,4.1853,3.8298,30
seq,2,40,4.0881,3.9849,4.3331,3.8298,30
seq,2,45,4.1605,3.9739,4.3749,3.8298,30
seq,2,50,4.4652,4.0176,4.8900,3.8298,30
seq,2,55,4.9334,4.5933,18.6878,3.8298,30
seq,2,60,15.0466,7.9566,28.3003,3.8298,30
seq,2,65,25.9155,10.8046,37.2710,3.8298,30
seq,2,70,30.5995,14.1417,44.1361,3.8298,30
seq,2,75,32.8425,14.0659,42.4926,3.8298,30
seq,2,80,35.2877,13.9514,45.4016,3.8298,30
seq,2,85,38.5281,13.8700,48.6590,3.8298,30
seq,2,90,38.7772,13.8453,50.2339,3.8298,30
seq,2,95,39.9663,13.7896,50.4807,3.8298,30
seq,2,100,37.5793,13.7635,49.5120,3.8298,30
seq,2,105,37.3001,13.7286,48.3203,3.8298,30
seq,2,110,38.4000,16.3959,50.6162,3.8298,30
seq,2,115,37.1152,17.5627,49.6572,3.8298,30
seq,2,120,36.9179,17.5822,47.2498,3.8298,30
seq,2,125,37.0247,17.6060,47.1188,3.8298,30
seq,2,130,35.4782,17.6014,48.0278,3.8298,30
seq,2,135,33.7221,17.5941,46.1759,3.8298,30
seq,2,140,33.6529,17.5732,46.0580,3.8298,30
seq,2,145,33.7160,17.5431,46.0539,3.8298,30
seq,2,150,33.6534,17.5523,46.0450,3.8298,30
seq,2,155,33.6478,17.5690,46.0421,3.8298,30
seq,2,160,33.6437,17.5797,46.0376,3.8298,30
seq,2,165,33.6426,17.5804,46.0315,3.8298,30
seq,2,170,33.6380,17.5721,46.0255,3.8298,30
seq,2,175,33.6334,17.5638,46.0226,3.8298,30
seq,2,180,33.6332,17.5591,44.5454,3.8298,30
seq,2,185,33.6288,17.5603,44.3566,3.8298,30
seq,2,190,33.6216,17.5646,45.5618,3.8298,30
seq,2,195,33.6765,17.5693,46.0153,3.8298,30
seq,2,200,33.6208,17.5663,44.3506,3.8298,30
seq,2,205,33.3367,17.5492,44.3525,3.8298,30
seq,2,210,33.6204,17.5474,44.3545,3.8298,30
seq,2,215,33.6714,17.5576,47.9840,3.8298,30
seq,2,220,33.6721,17.5594,46.7550,3.8298,30
seq,2,225,33.6708,17.5814,46.0004,3.8298,30
seq,2,230,33.6686,17.6006,46.0713,3.8298,30
seq,2,235,33.7794,17.6020,45.9994,3.8298,30
seq,2,240,33.6754,17.5996,44.3503,3.8298,30
seq,2,245,33.6036,17.5804,44.3455,3.8298,30
seq,2,250,33.6026,17.5781,44.3447,3.8298,30
seq,2,255,33.6016,17.5739,44.5363,3.8298,30
seq,2,260,33.6797,17.5638,45.9922,3.8298,30
