method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
seq,2,0,1.1820,1.0218,1.4960,3.8298,26
seq,2,5,1.1993,1.1092,1.5085,3.8298,26
seq,2,10,1.6243,1.4170,1.7511,3.8298,26
seq,2,15,2.1197,1.7842,2.2156,3.8298,26
seq,2,20,2.7017,2.2916,2.7715,3.8298,26
seq,2,25,3.3624,3.0471,3.4132,3.8298,26
seq,2,30,3.7449,3.5989,3.9478,3.8298,26
seq,2,35,4.0306,3.8910,4.2552,3.8298,26
seq,2,40,4.1358,4.0388,4.4161,3.8298,26
seq,2,45,4.2020,3.9930,4.4086,3.8298,26
seq,2,50,4.4652,4.0429,4.8000,3.8298,26
seq,2,55,4.8427,4.4496,15.4571,3.8298,26
seq,2,60,14.5374,7.9566,24.4321,3.8298,26
seq,2,65,26.3028,15.4735,37.2710,3.8298,26
seq,2,70,35.5361,23.8821,46.4277,3.8298,26
seq,2,75,35.1753,23.5631,43.6130,3.8298,26
seq,2,80,37.8509,26.0794,47.5925,3.8298,26
seq,2,85,41.2504,27.5916,48.8391,3.8298,26
seq,2,90,41.1951,28.3266,51.7449,3.8298,26
seq,2,95,40.6872,28.3040,51.7094,3.8298,26
seq,2,100,40.7036,27.0679,50.6518,3.8298,26
seq,2,105,41.5140,26.8060,48.6626,3.8298,26
seq,2,110,41.2502,26.5456,51.0905,3.8298,26
seq,2,115,43.3230,31.2098,50.3283,3.8298,26
seq,2,120,39.5649,30.1134,48.2397,3.8298,26
seq,2,125,40.2760,30.2277,48.2339,3.8298,26
seq,2,130,39.9691,30.2094,48.5494,3.8298,26
seq,2,135,37.2234,30.1968,48.0306,3.8298,26
seq,2,140,34.9589,29.0964,48.0287,3.8298,26
seq,2,145,36.6572,29.0972,48.0117,3.8298,26
seq,2,150,34.9596,29.0907,48.0270,3.8298,26
seq,2,155,34.9565,29.0857,48.0202,3.8298,26
seq,2,160,34.9509,29.0836,48.0123,3.8298,26
seq,2,165,34.9496,29.0748,48.0067,3.8298,26
seq,2,170,34.9403,29.0652,48.0013,3.8298,26
seq,2,175,34.9329,29.0588,47.2669,3.8298,26
seq,2,180,34.9325,29.0553,46.0229,3.8298,26
seq,2,185,34.9289,29.0565,46.0230,3.8298,26
seq,2,190,34.9260,29.1962,46.2895,3.8298,26
seq,2,195,36.6234,30.2919,46.9264,3.8298,26
seq,2,200,34.9172,28.6134,46.0113,3.8298,26
seq,2,205,33.6764,29.2344,46.0081,3.8298,26
seq,2,210,34.3122,29.2346,46.0053,3.8298,26
seq,2,215,36.6270,30.2939,48.5249,3.8298,26
seq,2,220,36.6410,30.3032,48.0970,3.8298,26
seq,2,225,36.6384,30.2744,47.9873,3.8298,26
seq,2,230,36.6400,31.3242,47.9841,3.8298,26
seq,2,235,35.4257,31.3456,47.9853,3.8298,26
seq,2,240,34.1189,31.3385,45.9973,3.8298,26
seq,2,245,33.7700,30.7934,45.9949,3.8298,26
seq,2,250,33.7664,30.8446,45.9931,3.8298,26
seq,2,255,33.7625,30.8386,45.9912,3.8298,26
seq,2,260,34.6251,30.8374,47.9908,3.8298,26
seq,2,265,34.9433,30.8378,46.8768,3.8298,26
seq,2,270,34.9451,30.8403,46.8820,3.8298,26
seq,2,275,36.5966,30.8366,46.6139,3.8298,26
seq,2,280,36.5962,30.8252,46.8341,3.8298,26
seq,2,285,36.5987,30.8220,46.8782,3.8298,26
seq,2,290,36.6009,30.8207,45.9927,3.8298,26
seq,2,295,37.1294,30.8172,48.1690,3.8298,26
seq,3,0,1.1697,1.0184,1.4605,3.8298,30
