method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
seq,1,0,1.1576,1.0183,1.4515,3.8298,30
seq,1,5,1.1468,1.0176,1.4474,3.8298,30
seq,1,10,1.1740,1.0343,1.4471,3.8298,30
seq,1,15,1.2192,1.0555,1.4557,3.8298,30
seq,1,20,1.2051,1.0431,1.5017,3.8298,30
seq,1,25,1.1823,1.0552,1.5011,3.8298,30
seq,1,30,1.1660,1.0557,1.4907,3.8298,30
seq,1,35,1.1589,1.0446,1.4841,3.8298,30
seq,1,40,1.1623,1.0253,1.4464,3.8298,30
seq,1,45,1.2602,1.0811,1.5774,3.8298,30
seq,1,50,1.4994,1.2797,1.7272,3.8298,30
seq,1,55,1.6995,1.3820,1.9275,3.8298,30
seq,1,60,1.7979,1.5941,2.2165,3.8298,30
seq,1,65,1.8724,1.6611,2.1830,3.8298,30
seq,1,70,1.8535,1.6613,2.1065,3.8298,30
seq,1,75,1.8662,1.6741,2.0303,3.8298,30
seq,1,80,1.7532,1.5871,1.8867,3.8298,30
seq,1,85,1.7937,1.6200,2.0886,3.8298,30
seq,1,90,1.7937,1.6200,2.0633,3.8298,30
seq,1,95,1.7937,1.6200,2.0886,3.8298,30
seq,1,100,1.7629,1.6200,2.0039,3.8298,30
seq,1,105,1.7937,1.6200,2.0039,3.8298,30
seq,1,110,1.7629,1.6200,2.0039,3.8298,30
seq,1,115,1.7629,1.6200,2.0039,3.8298,30
seq,1,120,1.7937,1.6200,2.0886,3.8298,30
seq,1,125,1.7937,1.6200,2.0886,3.8298,30
seq,1,130,1.7937,1.6200,2.0886,3.8298,30
seq,1,135,1.7937,1.6200,2.0886,3.8298,30
seq,1,140,1.7937,1.6200,2.0886,3.8298,30
seq,1,145,1.7937,1.6200,2.0886,3.8298,30
seq,1,150,1.7937,1.6200,2.0886,3.8298,30
seq,1,155,1.7937,1.6200,2.0886,3.8298,30
seq,1,160,1.7937,1.6200,2.0886,3.8298,30
seq,1,165,1.7937,1.6200,2.0886,3.8298,30
seq,1,170,1.7937,1.6200,2.0886,3.8298,30
seq,1,175,1.7937,1.6200,2.0886,3.8298,30
seq,1,180,1.7937,1.6200,2.0886,3.8298,30
seq,1,185,1.7937,1.6200,2.0886,3.8298,30
seq,1,190,1.7937,1.6200,2.0886,3.8298,30
seq,1,195,1.7937,1.6200,2.0886,3.8298,30
seq,1,200,1.7937,1.6200,2.0886,3.8298,30
seq,1,205,1.7937,1.6200,2.0886,3.8298,30
seq,1,210,1.7937,1.6200,2.0886,3.8298,30
seq,1,215,1.7937,1.6200,2.0886,3.8298,30
seq,1,220,1.7937,1.6200,2.0886,3.8298,30
seq,1,225,1.7937,1.6200,2.0886,3.8298,30
seq,1,230,1.7937,1.6200,2.0886,3.8298,30
seq,1,235,1.7937,1.6200,2.0886,3.8298,30
seq,1,240,1.7937,1.6200,2.0886,3.8298,30
seq,1,245,1.7937,1.6200,2.0886,3.8298,30
seq,1,250,1.7937,1.6200,2.0886,3.8298,30
seq,1,255,1.7937,1.6200,2.0886,3.8298,30
seq,1,260,1.7937,1.6200,2.0886,3.8298,30
seq,1,265,1.7937,1.6200,2.0886,3.8298,30
seq,1,270,1.7937,1.6200,2.0886,3.8298,30
seq,1,275,1.7937,1.6200,2.0886,3.8298,30
seq,1,280,1.7937,1.6200,2.0886,3.8298,30
seq,1,285,1.7937,1.6200,2.0886,3.8298,30
seq,1,290,1.7937,1.6200,2.0886,3.8298,30
seq,1,295,1.7937,1.6200,2.0886,3.8298,30
seq,2,0,1.0590,0.9469,1.2130,3.8298,4
seq,2,5,1.0520,0.9373,1.2079,3.8298,4
seq,2,10,1.1781,1.0883,1.3445,3.8298,4
seq,2,15,1.5556,1.4556,1.7329,3.8298,4
seq,2,20,2.1681,2.0779,2.3037,3.8298,4
seq,2,25,2.9376,2.8814,3.0338,3.8298,4
seq,2,30,3.5222,3.4423,3.6590,3.8298,4
seq,2,35,3.7666,3.7162,3.8757,3.8298,4
seq,2,40,3.8490,3.7583,3.9590,3.8298,4
seq,2,45,3.9208,3.7159,4.0751,3.8298,4
seq,2,50,4.3558,3.6393,5.3743,3.8298,4
seq,2,55,25.4796,22.3154,30.7881,3.8298,4
seq,2,60,35.9952,22.6283,54.1699,3.8298,4
seq,2,65,10.8073,7.6251,22.1411,3.8298,4
seq,2,70,7.2393,6.2072,9.5211,3.8298,4
seq,2,75,7.1492,6.0309,9.5400,3.8298,4
seq,2,80,7.0046,5.8101,9.4840,3.8298,4
seq,2,85,6.8013,5.5846,9.2995,3.8298,4
seq,2,90,6.5354,5.3662,9.0825,3.8298,4
seq,2,95,6.4118,5.2216,8.9991,3.8298,4
seq,2,100,6.3732,5.1621,8.9669,3.8298,4
seq,2,105,6.3143,5.1399,8.8632,3.8298,4
seq,2,110,6.4158,5.3240,8.8681,3.8298,4
seq,2,115,6.9568,6.1050,8.8928,3.8298,4
seq,2,120,6.4874,5.3644,8.9155,3.8298,4
seq,2,125,7.4870,6.8497,8.9925,3.8298,4
seq,2,130,7.6886,6.9088,9.2816,3.8298,4
seq,2,135,8.3192,6.8842,10.2764,3.8298,4
seq,2,140,7.0990,6.3865,8.9405,3.8298,4
seq,2,145,7.0816,6.3957,8.8741,3.8298,4
seq,2,150,7.1140,6.1674,9.1117,3.8298,4
seq,2,155,7.2705,6.3093,9.1380,3.8298,4
seq,2,160,7.3670,6.3434,9.2282,3.8298,4
seq,2,165,7.1540,6.0515,9.2283,3.8298,4
seq,2,170,6.9386,5.9427,9.0478,3.8298,4
seq,2,175,6.9713,6.0120,9.0389,3.8298,4
seq,2,180,6.8967,6.0594,8.9019,3.8298,4
seq,2,185,6.8967,6.1255,8.9019,3.8298,4
seq,2,190,6.8967,6.1097,8.9019,3.8298,4
seq,2,195,7.7455,7.1800,9.3251,3.8298,4
seq,2,200,9.4039,7.1800,11.8128,3.8298,4
seq,2,205,6.8967,6.1107,8.9019,3.8298,4
seq,2,210,6.8967,6.2624,8.9019,3.8298,4
seq,2,215,6.8967,6.2983,8.9019,3.8298,4
seq,2,220,6.8967,6.0756,8.9019,3.8298,4
seq,2,225,6.8967,6.0507,8.9019,3.8298,4
seq,2,230,6.8967,6.0395,8.9019,3.8298,4
seq,2,235,6.8967,6.0381,8.9019,3.8298,4
seq,2,240,6.8967,6.0435,8.9019,3.8298,4
seq,2,245,6.8967,6.0435,8.9019,3.8298,4
seq,2,250,6.8967,6.0435,8.9019,3.8298,4
seq,2,255,6.8967,6.0435,8.9019,3.8298,4
seq,2,260,6.8967,6.0435,8.9019,3.8298,4
