method,stage,t,d_median,d_q25,d_q75,da_median,da_q25,da_q75,t_star_median
ewc,4,0,1.1602,1.0264,1.4504,0.4170,0.3310,0.5885,102.0
ewc,4,8,1.1535,1.0390,1.4338,0.2821,0.2483,0.3304,102.0
ewc,4,16,1.2149,1.0885,1.4631,0.8831,0.7367,1.0069,102.0
ewc,4,24,1.2285,1.1051,1.4894,0.9128,0.7840,1.0585,102.0
ewc,4,32,1.4053,1.1693,1.5451,0.4887,0.3422,0.7157,102.0
ewc,4,40,1.4652,1.1713,1.6783,1.3140,0.4659,1.9375,102.0
ewc,4,48,1.9075,1.6079,2.4748,0.6602,0.3988,1.7364,102.0
ewc,4,56,1.8354,1.5038,2.3392,1.1643,0.9644,1.5269,102.0
ewc,4,64,2.0027,1.5812,2.4950,1.2396,0.8619,1.8195,102.0
ewc,4,72,2.0194,1.7203,2.5443,1.5291,0.8336,1.8662,102.0
ewc,4,80,2.4127,1.9475,3.0529,1.1362,0.6484,2.1136,102.0
ewc,4,88,2.3799,2.0645,3.2708,1.1980,0.9089,1.9249,102.0
ewc,4,96,2.5244,2.0656,3.6201,1.2838,1.0073,1.8073,102.0
ewc,4,104,3.4019,2.4618,4.2552,1.1624,0.8885,1.5507,102.0
ewc,4,112,3.4514,2.5491,5.2129,1.1468,0.8991,1.7096,102.0
ewc,4,120,3.8333,2.8543,5.6320,1.0181,0.7132,1.4471,102.0
ewc,4,128,4.1918,3.2033,5.5247,0.9735,0.6943,1.5559,102.0
ewc,4,136,4.2073,3.4070,6.2034,1.1750,0.8966,1.8148,102.0
ewc,4,144,4.3012,3.6967,5.2269,1.3625,0.8445,2.3060,102.0
ewc,4,152,4.5655,3.7063,6.2965,1.3920,0.8764,2.1502,102.0
ewc,4,160,4.4674,3.9038,6.0992,1.3119,0.8453,1.9920,102.0
ewc,4,168,4.7435,3.9111,6.1879,1.0388,0.7164,1.3174,102.0
ewc,4,176,4.9550,4.0917,6.1836,1.3341,0.8637,1.7254,102.0
ewc,4,184,5.1315,4.0779,6.0760,0.9998,0.7766,1.3254,102.0
ewc,4,192,5.0544,4.3024,6.0635,0.9674,0.8285,1.3709,102.0
ewc,4,200,5.2920,4.3522,6.6733,0.9943,0.7857,1.5448,102.0
ewc,4,208,5.5715,4.5130,6.5834,1.0573,0.8451,1.6104,102.0
ewc,4,216,5.7187,4.7796,7.1085,0.9489,0.7603,1.3731,102.0
ewc,4,224,5.7657,4.9012,6.7362,1.0373,0.8166,1.4659,102.0
ewc,4,232,5.8918,5.0987,6.6362,0.9199,0.7824,1.3441,102.0
ewc,4,240,5.8642,5.2057,6.6553,0.9562,0.7676,1.1786,102.0
ewc,4,248,6.0136,5.3610,6.7282,0.8735,0.7573,1.1974,102.0
ewc,4,256,6.1175,5.4570,6.8009,0.8105,0.6400,1.2447,102.0
ewc,4,264,6.0611,5.0957,6.7827,0.8711,0.6725,1.2714,102.0
ewc,4,272,5.9985,5.0730,6.7593,0.9371,0.7366,1.5037,102.0
ewc,4,280,6.0788,5.1361,6.8301,1.0094,0.8247,1.2772,102.0
ewc,4,288,6.2741,5.5846,6.9269,1.0324,0.7960,1.4242,102.0
ewc,4,296,6.2292,5.7519,6.9460,1.0759,0.8118,1.5896,102.0
er,4,0,1.1717,1.0151,1.4554,0.5462,0.4001,0.6881,300.0
er,4,8,1.1452,1.0273,1.4369,0.2480,0.1541,0.3315,300.0
er,4,16,1.1755,1.0735,1.4531,0.6360,0.4744,0.7093,300.0
er,4,24,1.2041,1.0964,1.4436,0.5555,0.4669,0.6190,300.0
er,4,32,1.2403,1.1405,1.4685,0.4401,0.3403,1.5496,300.0
er,4,40,1.2655,1.1369,1.5738,0.7184,0.3996,1.0842,300.0
er,4,48,1.7964,1.5634,2.1836,0.4169,0.3361,0.6981,300.0
er,4,56,2.0327,1.8204,2.3501,0.4193,0.2941,0.6146,300.0
er,4,64,2.1862,1.9700,2.4798,0.6411,0.4429,0.9693,300.0
er,4,72,2.2800,1.9062,2.4742,0.6453,0.4671,0.9816,300.0
er,4,80,2.1237,1.7104,2.6042,1.0990,0.5959,2.1359,300.0
er,4,88,2.0940,1.8005,2.4478,1.2794,0.6354,2.1547,300.0
er,4,96,2.2558,1.8290,2.6579,1.0138,0.5959,2.1359,300.0
er,4,104,2.2719,1.9211,2.6354,1.0771,0.6665,2.0646,300.0
er,4,112,2.3229,1.9184,2.6354,1.1784,0.6216,2.1359,300.0
er,4,120,2.2893,1.9184,2.8027,1.0508,0.6216,2.1359,300.0
er,4,128,2.1672,1.8290,2.8616,1.2327,0.5979,2.1547,300.0
er,4,136,2.1790,1.9184,2.8134,1.0990,0.5891,2.1547,300.0
er,4,144,2.2585,1.9184,2.8616,1.0990,0.6216,2.1547,300.0
er,4,152,2.3035,1.9184,2.8616,1.0590,0.6216,2.1359,300.0
er,4,160,2.2792,1.9184,2.8616,1.1978,0.5959,2.1359,300.0
er,4,168,2.3380,1.9184,2.9700,1.1889,0.6216,2.1359,300.0
er,4,176,2.3332,1.9184,2.9700,1.1535,0.5959,2.1969,300.0
er,4,184,2.3129,1.9184,2.9700,1.1281,0.6216,2.1969,300.0
er,4,192,2.3372,1.9184,2.9700,1.1189,0.6216,2.1547,300.0
er,4,200,2.3917,1.9184,2.9700,1.0178,0.6216,2.1547,300.0
er,4,208,2.3917,1.9184,2.9700,1.0990,0.6216,2.1547,300.0
er,4,216,2.3917,1.9184,3.0505,1.1978,0.6216,2.1969,300.0
er,4,224,2.3917,1.9184,3.0505,1.1978,0.6216,2.1969,300.0
er,4,232,2.3917,1.9184,3.0505,1.0990,0.5959,2.1359,300.0
er,4,240,2.3917,1.9184,3.0505,1.1978,0.6216,2.1547,300.0
er,4,248,2.3917,1.9184,3.0505,1.0990,0.6216,2.1547,300.0
er,4,256,2.3917,1.9184,3.0505,1.1978,0.6216,2.1547,300.0
er,4,264,2.3917,1.9184,3.0505,1.1978,0.6216,2.1359,300.0
er,4,272,2.3917,1.9184,3.0505,1.0990,0.6216,2.1359,300.0
er,4,280,2.3917,1.9184,3.0505,1.1978,0.6216,2.1359,300.0
er,4,288,2.3917,1.9184,3.0505,1.2794,0.6216,2.1969,300.0
