method,stage,heldout_loss,sr,dauc,t_star,dwell,ckpt
seq,1,0.22342072496539914,1.0,1.6870524287223816,300.0,1.0,outputs/E0/libero_spatial/seed_42/lam0/task_0/checkpoints/last/pretrained_model
seq,2,0.4766330945829395,0.13333333333333333,28.799959182739258,33.0,0.11,outputs/E0/libero_spatial/seed_42/lam0/task_1/checkpoints/last/pretrained_model
seq,3,0.5080148957960773,0.0,2.93044114112854,212.0,0.815,outputs/E0/libero_spatial/seed_42/lam0/task_2/checkpoints/last/pretrained_model
seq,4,0.642401658964809,0.0,2.7266005277633667,166.0,0.8883333333333334,outputs/E0/libero_spatial/seed_42/lam0/task_3/checkpoints/last/pretrained_model
ewc,1,0.22448750026233028,0.9666666666666667,1.7241700291633606,300.0,1.0,outputs/E0/libero_spatial/seed_42/lam100/task_0/checkpoints/last/pretrained_model
ewc,2,0.21191473227518146,0.1,5.456378698348999,88.0,0.32499999999999996,outputs/E0/libero_spatial/seed_42/lam100/task_1/checkpoints/last/pretrained_model
ewc,3,0.20057183441822418,0.6,2.840004324913025,87.5,0.9416666666666667,outputs/E0/libero_spatial/seed_42/lam100/task_2/checkpoints/last/pretrained_model
ewc,4,0.1997391217504628,0.0,4.183896541595459,102.0,0.41000000000000003,outputs/E0/libero_spatial/seed_42/lam100/task_3/checkpoints/last/pretrained_model
frozen,1,0.22342072496539914,0.9666666666666667,1.7501442432403564,300.0,1.0,outputs/E0/libero_spatial/seed_42/laminf/task_0/checkpoints/last/pretrained_model
frozen,2,0.22342072496539914,0.9666666666666667,1.7052759528160095,300.0,1.0,outputs/E0/libero_spatial/seed_42/laminf/task_1/checkpoints/last/pretrained_model
frozen,3,0.22342072496539914,0.9666666666666667,1.7649211287498474,300.0,1.0,outputs/E0/libero_spatial/seed_42/laminf/task_2/checkpoints/last/pretrained_model
frozen,4,0.22342072496539914,1.0,1.6335622668266296,300.0,1.0,outputs/E0/libero_spatial/seed_42/laminf/task_3/checkpoints/last/pretrained_model
er,1,0.22341687425796408,1.0,1.741826355457306,300.0,1.0,outputs/ER/libero_spatial/seed42/task_0/checkpoints/last/pretrained_model
er,2,0.3135183356294874,0.9333333333333333,1.7298186421394348,300.0,1.0,outputs/ER/libero_spatial/seed42/task_1/checkpoints/last/pretrained_model
er,3,0.33171973867574706,0.8666666666666667,1.7191100120544434,300.0,1.0,outputs/ER/libero_spatial/seed42/task_2/checkpoints/last/pretrained_model
er,4,0.3396236877393676,0.8666666666666667,2.18264102935791,300.0,1.0,outputs/ER/libero_spatial/seed42/task_3/checkpoints/last/pretrained_model
packnet,1,0.2282992344989907,0.9666666666666667,1.6936551332473755,300.0,1.0,outputs/PACKNET/libero_spatial/seed42/task_0/checkpoints/last/pretrained_model
packnet,2,0.5575849478773307,0.5333333333333333,15.379544258117676,33.0,0.135,outputs/PACKNET/libero_spatial/seed42/task_1/checkpoints/last/pretrained_model
packnet,3,0.4871064666484017,0.0,3.5948712825775146,196.0,0.71,outputs/PACKNET/libero_spatial/seed42/task_2/checkpoints/last/pretrained_model
packnet,4,0.5636869661044329,0.0,4.28487491607666,124.0,0.6166666666666667,outputs/PACKNET/libero_spatial/seed42/task_3/checkpoints/last/pretrained_model
