method,stage,noise_mode,sr,sr_se
er,4,fresh,0.9000,0.0548
ewc,3,fresh,0.6333,0.0880
ewc,4,fresh,0.1333,0.0621
packnet,4,fresh,0.0333,0.0328
seq,1,fresh,0.9667,0.0328
seq,3,fresh,0.0000,0.0000
seq,4,fresh,0.0000,0.0000
er,4,sticky,0.7667,0.0772
ewc,3,sticky,0.4667,0.0911
ewc,4,sticky,0.0667,0.0455
packnet,4,sticky,0.0000,0.0000
seq,1,sticky,1.0000,0.0000
seq,3,sticky,0.0000,0.0000
seq,4,sticky,0.0000,0.0000
er,4,ou,0.8667,0.0621
ewc,3,ou,0.7000,0.0837
ewc,4,ou,0.1000,0.0548
packnet,4,ou,0.0000,0.0000
seq,1,ou,0.9667,0.0328
seq,3,ou,0.0333,0.0328
seq,4,ou,0.0000,0.0000
