method,stage,metric,median,q25,q75,n_obs,census_k
ewc,1,center_shift_rel,0.26037,0.14709,0.39670,200,64
ewc,2,center_shift_rel,0.38519,0.21350,0.55290,200,64
ewc,3,center_shift_rel,0.49198,0.34190,0.64087,200,64
ewc,4,center_shift_rel,0.46993,0.36641,0.67044,200,64
frozen,1,center_shift_rel,0.00000,0.00000,0.00000,200,64
frozen,2,center_shift_rel,0.00000,0.00000,0.00000,200,64
frozen,3,center_shift_rel,0.00000,0.00000,0.00000,200,64
frozen,4,center_shift_rel,0.00000,0.00000,0.00000,200,64
seq,1,center_shift_rel,0.00000,0.00000,0.00000,200,64
seq,2,center_shift_rel,1.29925,0.77928,1.77159,200,64
seq,3,center_shift_rel,1.22453,0.94601,1.69528,200,64
seq,4,center_shift_rel,1.59499,1.17121,2.04247,200,64
er,4,center_shift_rel,0.75444,0.59460,1.00665,200,64
packnet,4,center_shift_rel,1.67990,1.27050,2.30042,200,64
ewc,1,assign_change_multi,0.20312,0.10938,0.36719,200,64
ewc,2,assign_change_multi,0.23438,0.08594,0.39062,200,64
ewc,3,assign_change_multi,0.25000,0.15625,0.39062,200,64
ewc,4,assign_change_multi,0.21875,0.14062,0.33594,200,64
frozen,1,assign_change_multi,0.00000,0.00000,0.00000,200,64
frozen,2,assign_change_multi,0.00000,0.00000,0.00000,200,64
frozen,3,assign_change_multi,0.00000,0.00000,0.00000,200,64
frozen,4,assign_change_multi,0.00000,0.00000,0.00000,200,64
seq,1,assign_change_multi,0.00000,0.00000,0.00000,200,64
seq,2,assign_change_multi,0.45312,0.29688,0.59375,200,64
seq,3,assign_change_multi,0.50000,0.37500,0.68750,200,64
seq,4,assign_change_multi,0.51562,0.37500,0.69531,200,64
er,4,assign_change_multi,0.45312,0.30469,0.56250,200,64
packnet,4,assign_change_multi,0.51562,0.37500,0.69531,200,64
