method,stage,heldout_loss,sr,assign_change
er,4,0.3396236877393676,0.9,0.0
ewc,1,0.22448750026233028,0.9666666666666667,0.0
ewc,2,0.21191473227518146,0.1,0.0
ewc,3,0.20057183441822418,0.6333333333333333,0.0
ewc,4,0.1997391217504628,0.13333333333333333,0.0
frozen,1,0.22342072496539914,0.9666666666666667,0.0
frozen,2,0.22342072496539914,0.9666666666666667,0.0
frozen,3,0.22342072496539914,0.9666666666666667,0.0
frozen,4,0.22342072496539914,1.0,0.0
packnet,4,0.5636869661044329,0.03333333333333333,0.0
seq,1,0.22342072496539914,0.9666666666666667,0.0
seq,2,0.4766330945829395,0.13333333333333333,0.0
seq,3,0.5080148957960773,0.0,0.0
seq,4,0.642401658964809,0.0,0.0
