k,없음 (전역평균),시간 bin 10,state 셀 10,state 셀 96,state 셀 96 + 기울기
1,28.2358,11.6916,12.3897,8.1054,4.4306
2,39.5343,17.2909,18.4871,12.9957,7.5553
3,45.5309,21.7949,22.9815,16.5095,10.1116
4,49.9411,25.6061,27.1852,19.4136,11.9927
5,53.6007,28.9743,30.4292,21.9740,13.7041
6,56.3036,32.2821,33.1243,24.2148,15.3466
7,58.3738,35.1576,35.7413,26.2009,16.9131
8,60.3235,37.8559,38.0503,27.9917,18.2830
9,62.0457,40.1276,40.1040,29.5906,19.5813
10,63.6228,42.1914,41.9814,31.1468,20.7937
11,64.9958,44.0137,43.6182,32.6060,21.8667
12,66.0065,45.6092,44.9470,33.8957,22.9061
13,66.9677,47.0480,46.1991,35.1504,23.9017
14,67.8174,48.3048,47.3653,36.3339,24.8325
15,68.5665,49.4504,48.4899,37.4346,25.7350
16,69.2411,50.5275,49.5325,38.4369,26.5557
17,69.9034,51.5242,50.5564,39.3994,27.3534
18,70.5188,52.4844,51.5287,40.3362,28.1149
19,71.0656,53.3556,52.3858,41.2431,28.8687
20,71.5898,54.1938,53.2094,42.0718,29.5714
21,72.1103,55.0122,54.0081,42.8644,30.2538
22,72.6048,55.8059,54.7652,43.6203,30.9171
23,73.0562,56.5168,55.4724,44.3582,31.5546
24,73.4963,57.2180,56.1782,45.0697,32.1822
25,73.9144,57.8968,56.8523,45.7358,32.8049
26,74.3095,58.5313,57.4797,46.3889,33.4126
27,74.6833,59.1322,58.0851,47.0064,34.0035
28,75.0469,59.7188,58.6516,47.6093,34.5813
29,75.3846,60.2642,59.1921,48.2002,35.1477
30,75.7192,60.7858,59.7284,48.7681,35.7020
31,76.0353,61.2932,60.2374,49.3344,36.2487
32,76.3450,61.7935,60.7230,49.8890,36.7802
33,76.6509,62.2745,61.2000,50.4272,37.2899
34,76.9493,62.7448,61.6618,50.9450,37.7979
35,77.2294,63.1931,62.1022,51.4474,38.3000
36,77.5004,63.6266,62.5345,51.9234,38.7932
37,77.7661,64.0510,62.9496,52.3910,39.2736
38,78.0210,64.4634,63.3554,52.8478,39.7422
39,78.2648,64.8531,63.7537,53.2975,40.2031
40,78.5048,65.2340,64.1381,53.7316,40.6493
41,78.7368,65.6082,64.5165,54.1553,41.0829
42,78.9614,65.9667,64.8750,54.5688,41.5149
43,79.1810,66.3203,65.2290,54.9798,41.9341
44,79.3892,66.6511,65.5765,55.3602,42.3470
45,79.5954,66.9807,65.9168,55.7355,42.7507
46,79.7982,67.3067,66.2447,56.1069,43.1484
47,79.9953,67.6237,66.5669,56.4708,43.5359
48,80.1885,67.9344,66.8784,56.8326,43.9220
49,80.3769,68.2345,67.1850,57.1894,44.3018
50,80.5611,68.5313,67.4853,57.5432,44.6709
51,80.7407,68.8199,67.7814,57.8873,45.0351
52,80.9156,69.1005,68.0645,58.2250,45.3905
53,81.0893,69.3788,68.3437,58.5573,45.7411
54,81.2569,69.6502,68.6161,58.8823,46.0819
55,81.4195,69.9107,68.8875,59.1984,46.4167
56,81.5811,70.1687,69.1564,59.5139,46.7464
57,81.7401,70.4253,69.4170,59.8207,47.0688
58,81.8947,70.6743,69.6730,60.1226,47.3873
59,82.0488,70.9177,69.9257,60.4180,47.7008
60,82.1956,71.1533,70.1596,60.7058,48.0108
