명령어 간 velocity 흩어짐 — ER 최종 체크포인트, task0 관측 256 프레임

     t    ‖v_j−v̄‖       ‖v‖      상대%
  0.02      0.8922   11.7896     7.57
  0.12      0.9851   11.8210     8.33
  0.22      1.1039   11.8583     9.31
  0.32      1.2544   11.9162    10.53
  0.42      1.4404   12.0171    11.99
  0.52      1.6699   12.1847    13.70
  0.62      1.9387   12.4113    15.62
  0.72      2.2071   12.7812    17.27
  0.82      2.7309   13.7412    19.87
  0.92      3.6246   16.4305    22.06
  1.00      1.1886    5.7996    20.50
